period,respondent,respondent-name,fueltype,type-name,value,value-units
2021-06-01T16,CISO,California Independent System Operator,WND,Wind,675,megawatthours
2021-06-01T17,CISO,California Independent System Operator,NG,Natural gas,7682,megawatthours
2021-06-01T17,CISO,California Independent System Operator,COL,Coal,22,megawatthours
2021-06-01T17,CISO,California Independent System Operator,NUC,Nuclear,2274,megawatthours
2021-06-01T17,CISO,California Independent System Operator,WAT,Hydro,413,megawatthours
2021-06-01T17,CISO,California Independent System Operator,OTH,Other,-45,megawatthours
2021-06-01T17,CISO,California Independent System Operator,SUN,Solar,11669,megawatthours
2021-06-01T17,CISO,California Independent System Operator,OIL,Petroleum,54,megawatthours
2021-06-01T17,CISO,California Independent System Operator,WND,Wind,501,megawatthours
2021-06-01T18,CISO,California Independent System Operator,NG,Natural gas,8219,megawatthours
2021-06-01T18,CISO,California Independent System Operator,WND,Wind,541,megawatthours
2021-06-01T18,CISO,California Independent System Operator,OIL,Petroleum,54,megawatthours
2021-06-01T18,CISO,California Independent System Operator,OTH,Other,-193,megawatthours
2021-06-01T18,CISO,California Independent System Operator,SUN,Solar,12209,megawatthours
2021-06-01T18,CISO,California Independent System Operator,WAT,Hydro,372,megawatthours
2021-06-01T18,CISO,California Independent System Operator,NUC,Nuclear,2274,megawatthours
2021-06-01T18,CISO,California Independent System Operator,COL,Coal,18,megawatthours
2021-06-01T19,CISO,California Independent System Operator,WND,Wind,840,megawatthours
2021-06-01T19,CISO,California Independent System Operator,WAT,Hydro,760,megawatthours
2021-06-01T19,CISO,California Independent System Operator,OTH,Other,-141,megawatthours
2021-06-01T19,CISO,California Independent System Operator,SUN,Solar,12087,megawatthours
2021-06-01T19,CISO,California Independent System Operator,NUC,Nuclear,2275,megawatthours
2021-06-01T19,CISO,California Independent System Operator,COL,Coal,17,megawatthours
2021-06-01T19,CISO,California Independent System Operator,OIL,Petroleum,55,megawatthours
2021-06-01T19,CISO,California Independent System Operator,NG,Natural gas,8502,megawatthours
2021-06-01T20,CISO,California Independent System Operator,NG,Natural gas,9324,megawatthours
2021-06-01T20,CISO,California Independent System Operator,SUN,Solar,12271,megawatthours
2021-06-01T20,CISO,California Independent System Operator,WND,Wind,959,megawatthours
2021-06-01T20,CISO,California Independent System Operator,OIL,Petroleum,54,megawatthours
2021-06-01T20,CISO,California Independent System Operator,NUC,Nuclear,2275,megawatthours
2021-06-01T20,CISO,California Independent System Operator,OTH,Other,-27,megawatthours
