period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,unit,technology,energy_source_code,energy-source-desc,prime_mover_code,balancing_authority_code,balancing-authority-name,status,statusDescription,nameplate-capacity-mw,nameplate-capacity-mw-units
2021-06,CA,California,commercial-chp,Commercial CHP,58564,Paramount Group Inc,58607,One Market Plaza,2,,Natural Gas Internal Combustion Engine,NG,Natural Gas,IC,CISO,California Independent System Operator,OP,Operating,0.5,MW
2021-06,CA,California,commercial-chp,Commercial CHP,58564,Paramount Group Inc,58607,One Market Plaza,3,,Natural Gas Internal Combustion Engine,NG,Natural Gas,IC,CISO,California Independent System Operator,OP,Operating,0.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59843,"Blythe Solar II, LLC",60092,"Blythe Solar II, LLC",BLCK5,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,33.9,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59843,"Blythe Solar II, LLC",60092,"Blythe Solar II, LLC",BLCK6,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,32.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59843,"Blythe Solar II, LLC",60092,"Blythe Solar II, LLC",BLCK7,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,32.1,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59843,"Blythe Solar II, LLC",60092,"Blythe Solar II, LLC",BLST2,,Batteries,MWH,Electricity used for energy storage,BA,CISO,California Independent System Operator,OP,Operating,115.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59844,"Blythe Solar III, LLC",60094,"Blythe Solar III, LLC Hybrid",BLSL3,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,136.8,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59844,"Blythe Solar III, LLC",60094,"Blythe Solar III, LLC Hybrid",BLST3,,Batteries,MWH,Electricity used for energy storage,BA,CISO,California Independent System Operator,OP,Operating,115.0,MW
2021-06,CA,California,industrial-non-chp,Industrial Non-CHP,56497,Big Valley Power (BVP) LLC,10288,Big Valley Power LLC,IS27,,Wood/Wood Waste Biomass,WDS,Wood Waste Solids,ST,CISO,California Independent System Operator,OS,Out of service and NOT expected to return to service in next calendar year,9.3,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,57250,MM Prima Deshecha Energy LLC,55601,Prima Plant,UNT1,,Landfill Gas,LFG,Landfill Gas,IC,CISO,California Independent System Operator,OP,Operating,3.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,57250,MM Prima Deshecha Energy LLC,55601,Prima Plant,UNT2,,Landfill Gas,LFG,Landfill Gas,IC,CISO,California Independent System Operator,OP,Operating,3.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,57260,CSOLAR IV West LLC,57491,Imperial Solar Energy Center West,56819,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,148.7,MW
2021-06,CA,California,commercial-non-chp,Commercial Non-CHP,57262,Kern County Water Agency,57895,Improvement Dst No. 4,ID4,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.1,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,57271,NRG Solar Borrego I,57455,Solar Borrego I,SB1,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,26.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,58568,"Westlands Solar Farms, LLC",58616,Westlands Solar PV Farm,WSF1,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,18.0,MW
2021-06,CA,California,commercial-chp,Commercial CHP,58573,Transamerica Pyramid Properties LLC,58619,Transamerica Pyramid,1,,Natural Gas Internal Combustion Engine,NG,Natural Gas,IC,CISO,California Independent System Operator,OP,Operating,0.5,MW
2021-06,CA,California,commercial-chp,Commercial CHP,58573,Transamerica Pyramid Properties LLC,58619,Transamerica Pyramid,2,,Natural Gas Internal Combustion Engine,NG,Natural Gas,IC,CISO,California Independent System Operator,OP,Operating,0.5,MW
2021-06,CA,California,ipp-chp,IPP CHP,56917,Broadridge Customer Communications,57580,Broadridge Cogen,CG2,,Natural Gas Internal Combustion Engine,NG,Natural Gas,IC,CISO,California Independent System Operator,OP,Operating,2.1,MW
2021-06,CA,California,ipp-chp,IPP CHP,56917,Broadridge Customer Communications,57580,Broadridge Cogen,PV1,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,0.3,MW
2021-06,CA,California,ipp-chp,IPP CHP,56917,Broadridge Customer Communications,57580,Broadridge Cogen,PV2,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,0.5,MW
2021-06,CA,California,commercial-chp,Commercial CHP,56918,University of California San Diego,57584,University of California San Diego Hybrid,BS1,,Batteries,MWH,Electricity used for energy storage,BA,CISO,California Independent System Operator,OP,Operating,2.5,MW
2021-06,CA,California,commercial-chp,Commercial CHP,56918,University of California San Diego,57584,University of California San Diego Hybrid,NT2,CC1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CT,CISO,California Independent System Operator,OP,Operating,15.0,MW
2021-06,CA,California,commercial-chp,Commercial CHP,56918,University of California San Diego,57584,University of California San Diego Hybrid,ST1,CC1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CT,CISO,California Independent System Operator,OP,Operating,15.0,MW
2021-06,CA,California,commercial-chp,Commercial CHP,56918,University of California San Diego,57584,University of California San Diego Hybrid,STG,CC1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CA,CISO,California Independent System Operator,OP,Operating,3.0,MW
2021-06,CA,California,commercial-non-chp,Commercial Non-CHP,56918,University of California San Diego,57856,Univ of California San Diego Solar,SGU1,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.2,MW
2021-06,CA,California,ipp-chp,IPP CHP,59879,Greenleaf Energy LLC,10349,Greenleaf 2 Power Plant,GEN1,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OA,Out of service but expected to return to service in next calendar year,49.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59872,"Solar Star California XX, LLC",58389,Solar Star 2,SS21,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,60.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59872,"Solar Star California XX, LLC",58389,Solar Star 2,SS22,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,55.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59872,"Solar Star California XX, LLC",58389,Solar Star 2,SS23,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,48.0,MW
