datetime,Grid Node To,Value,unit,Grid Node From,start_datetime,end_datetime
2022-08-01 09:00:00+00:00,FR,-1496.0,MW,UK-GB,2022-08-01 09:00,2022-08-01 10:00
2022-08-01 09:00:00+00:00,IE,320.0,MW,UK-GB,2022-08-01 09:00,2022-08-01 10:00
2022-08-01 09:00:00+00:00,NL,1002.0,MW,UK-GB,2022-08-01 09:00,2022-08-01 10:00
2022-08-01 09:00:00+00:00,NO,552.0,MW,UK-GB,2022-08-01 09:00,2022-08-01 10:00
2022-08-01 09:00:00+00:00,UK-NIR,38.0,MW,UK-GB,2022-08-01 09:00,2022-08-01 10:00
2022-08-01 09:30:00+00:00,BE,662.0,MW,UK-GB,2022-08-01 09:30,2022-08-01 10:30
2022-08-01 09:30:00+00:00,FR,-1800.0,MW,UK-GB,2022-08-01 09:30,2022-08-01 10:30
2022-08-01 09:30:00+00:00,IE,180.0,MW,UK-GB,2022-08-01 09:30,2022-08-01 10:30
2022-08-01 09:30:00+00:00,NL,1002.0,MW,UK-GB,2022-08-01 09:30,2022-08-01 10:30
2022-08-01 09:30:00+00:00,NO,266.0,MW,UK-GB,2022-08-01 09:30,2022-08-01 10:30
2022-08-01 09:30:00+00:00,UK-NIR,46.0,MW,UK-GB,2022-08-01 09:30,2022-08-01 10:30
2022-08-01 10:00:00+00:00,BE,668.0,MW,UK-GB,2022-08-01 10:00,2022-08-01 11:00
2022-08-01 10:00:00+00:00,FR,-1818.0,MW,UK-GB,2022-08-01 10:00,2022-08-01 11:00
2022-08-01 10:00:00+00:00,IE,126.0,MW,UK-GB,2022-08-01 10:00,2022-08-01 11:00
2022-08-01 10:00:00+00:00,NL,986.0,MW,UK-GB,2022-08-01 10:00,2022-08-01 11:00
2022-08-01 10:00:00+00:00,NO,238.0,MW,UK-GB,2022-08-01 10:00,2022-08-01 11:00
2022-08-01 10:00:00+00:00,UK-NIR,48.0,MW,UK-GB,2022-08-01 10:00,2022-08-01 11:00
2022-08-01 10:30:00+00:00,BE,774.0,MW,UK-GB,2022-08-01 10:30,2022-08-01 11:30
2022-08-01 10:30:00+00:00,FR,-2048.0,MW,UK-GB,2022-08-01 10:30,2022-08-01 11:30
2022-08-01 10:30:00+00:00,IE,226.0,MW,UK-GB,2022-08-01 10:30,2022-08-01 11:30
2022-08-01 10:30:00+00:00,NL,764.0,MW,UK-GB,2022-08-01 10:30,2022-08-01 11:30
2022-08-01 10:30:00+00:00,NO,228.0,MW,UK-GB,2022-08-01 10:30,2022-08-01 11:30
2022-08-01 10:30:00+00:00,UK-NIR,76.0,MW,UK-GB,2022-08-01 10:30,2022-08-01 11:30
2022-08-01 11:00:00+00:00,BE,774.0,MW,UK-GB,2022-08-01 11:00,2022-08-01 12:00
2022-08-01 11:00:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 11:00,2022-08-01 12:00
2022-08-01 11:00:00+00:00,IE,322.0,MW,UK-GB,2022-08-01 11:00,2022-08-01 12:00
2022-08-01 11:00:00+00:00,NL,764.0,MW,UK-GB,2022-08-01 11:00,2022-08-01 12:00
2022-08-01 11:00:00+00:00,NO,230.0,MW,UK-GB,2022-08-01 11:00,2022-08-01 12:00
2022-08-01 11:00:00+00:00,UK-NIR,28.0,MW,UK-GB,2022-08-01 11:00,2022-08-01 12:00
2022-08-01 11:30:00+00:00,BE,498.0,MW,UK-GB,2022-08-01 11:30,2022-08-01 12:30
2022-08-01 11:30:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 11:30,2022-08-01 12:30
2022-08-01 11:30:00+00:00,IE,466.0,MW,UK-GB,2022-08-01 11:30,2022-08-01 12:30
2022-08-01 11:30:00+00:00,NL,888.0,MW,UK-GB,2022-08-01 11:30,2022-08-01 12:30
2022-08-01 11:30:00+00:00,NO,360.0,MW,UK-GB,2022-08-01 11:30,2022-08-01 12:30
2022-08-01 11:30:00+00:00,UK-NIR,128.0,MW,UK-GB,2022-08-01 11:30,2022-08-01 12:30
2022-08-01 12:00:00+00:00,BE,492.0,MW,UK-GB,2022-08-01 12:00,2022-08-01 13:00
2022-08-01 12:00:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 12:00,2022-08-01 13:00
2022-08-01 12:00:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 12:00,2022-08-01 13:00
2022-08-01 12:00:00+00:00,NL,868.0,MW,UK-GB,2022-08-01 12:00,2022-08-01 13:00
2022-08-01 12:00:00+00:00,NO,344.0,MW,UK-GB,2022-08-01 12:00,2022-08-01 13:00
2022-08-01 12:00:00+00:00,UK-NIR,146.0,MW,UK-GB,2022-08-01 12:00,2022-08-01 13:00
2022-08-01 12:30:00+00:00,BE,322.0,MW,UK-GB,2022-08-01 12:30,2022-08-01 13:30
2022-08-01 12:30:00+00:00,FR,-2058.0,MW,UK-GB,2022-08-01 12:30,2022-08-01 13:30
2022-08-01 12:30:00+00:00,IE,472.0,MW,UK-GB,2022-08-01 12:30,2022-08-01 13:30
2022-08-01 12:30:00+00:00,NL,582.0,MW,UK-GB,2022-08-01 12:30,2022-08-01 13:30
2022-08-01 12:30:00+00:00,NO,28.0,MW,UK-GB,2022-08-01 12:30,2022-08-01 13:30
2022-08-01 12:30:00+00:00,UK-NIR,186.0,MW,UK-GB,2022-08-01 12:30,2022-08-01 13:30
2022-08-01 13:00:00+00:00,BE,316.0,MW,UK-GB,2022-08-01 13:00,2022-08-01 14:00
2022-08-01 13:00:00+00:00,FR,-2058.0,MW,UK-GB,2022-08-01 13:00,2022-08-01 14:00
2022-08-01 13:00:00+00:00,IE,410.0,MW,UK-GB,2022-08-01 13:00,2022-08-01 14:00
2022-08-01 13:00:00+00:00,NL,584.0,MW,UK-GB,2022-08-01 13:00,2022-08-01 14:00
2022-08-01 13:00:00+00:00,NO,-40.0,MW,UK-GB,2022-08-01 13:00,2022-08-01 14:00
2022-08-01 13:00:00+00:00,UK-NIR,194.0,MW,UK-GB,2022-08-01 13:00,2022-08-01 14:00
2022-08-01 13:30:00+00:00,BE,-26.0,MW,UK-GB,2022-08-01 13:30,2022-08-01 14:30
2022-08-01 13:30:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 13:30,2022-08-01 14:30
2022-08-01 13:30:00+00:00,IE,500.0,MW,UK-GB,2022-08-01 13:30,2022-08-01 14:30
2022-08-01 13:30:00+00:00,NL,730.0,MW,UK-GB,2022-08-01 13:30,2022-08-01 14:30
2022-08-01 13:30:00+00:00,NO,-396.0,MW,UK-GB,2022-08-01 13:30,2022-08-01 14:30
2022-08-01 13:30:00+00:00,UK-NIR,206.0,MW,UK-GB,2022-08-01 13:30,2022-08-01 14:30
2022-08-01 14:00:00+00:00,BE,-32.0,MW,UK-GB,2022-08-01 14:00,2022-08-01 15:00
2022-08-01 14:00:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 14:00,2022-08-01 15:00
2022-08-01 14:00:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 14:00,2022-08-01 15:00
2022-08-01 14:00:00+00:00,NL,732.0,MW,UK-GB,2022-08-01 14:00,2022-08-01 15:00
2022-08-01 14:00:00+00:00,NO,-476.0,MW,UK-GB,2022-08-01 14:00,2022-08-01 15:00
