"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|ES","01.11.2022 14:00 - 01.11.2022 14:15 (UTC)","420","0","0","6908","248","84","0","0","0","","2948","672","316","0","4984","12","80","8928","228","0","3420"
"BZN|ES","01.11.2022 14:15 - 01.11.2022 14:30 (UTC)","432","0","0","7664","252","84","0","0","0","","2972","684","336","0","4984","12","84","8680","228","0","3144"
"BZN|ES","01.11.2022 14:30 - 01.11.2022 14:45 (UTC)","436","0","0","7956","252","84","0","0","0","","2928","680","340","0","4984","12","80","8556","228","0","3012"
"BZN|ES","01.11.2022 14:45 - 01.11.2022 15:00 (UTC)","436","0","0","8000","252","88","0","0","0","","2876","672","332","0","4984","12","84","8088","224","0","3000"
"BZN|ES","01.11.2022 15:00 - 01.11.2022 15:15 (UTC)","424","0","0","8156","256","88","0","0","0","","2760","668","348","0","4984","12","84","7984","232","0","2944"
"BZN|ES","01.11.2022 15:15 - 01.11.2022 15:30 (UTC)","404","0","0","7948","252","88","0","0","0","","2332","660","380","0","4988","12","80","7892","232","0","3092"
"BZN|ES","01.11.2022 15:30 - 01.11.2022 15:45 (UTC)","396","0","0","8036","252","88","0","0","0","","2212","668","448","0","4988","12","80","7220","228","0","3012"
"BZN|ES","01.11.2022 15:45 - 01.11.2022 16:00 (UTC)","420","0","0","8616","252","88","0","0","0","","2160","684","540","0","4988","12","80","6264","232","0","2944"
"BZN|ES","01.11.2022 16:00 - 01.11.2022 16:15 (UTC)","436","0","0","8796","256","88","0","0","0","","1636","696","568","0","4988","12","84","5264","232","0","2812"
"BZN|ES","01.11.2022 16:15 - 01.11.2022 16:30 (UTC)","432","0","0","8948","256","88","0","0","0","","1476","696","596","0","4988","8","88","4072","232","0","2728"
"BZN|ES","01.11.2022 16:30 - 01.11.2022 16:45 (UTC)","448","0","0","9212","292","88","0","0","0","","1032","736","788","0","4988","8","88","2792","232","0","2608"
"BZN|ES","01.11.2022 16:45 - 01.11.2022 17:00 (UTC)","444","0","0","9676","304","88","0","0","0","","512","712","1592","0","4988","12","88","1664","228","0","2496"
"BZN|ES","01.11.2022 17:00 - 01.11.2022 17:15 (UTC)","448","0","0","10124","304","88","0","0","0","","488","720","2016","0","4988","12","88","924","228","0","2372"
"BZN|ES","01.11.2022 17:15 - 01.11.2022 17:30 (UTC)","420","0","0","10080","340","88","0","0","0","","488","716","1808","0","4988","12","88","472","232","0","2292"
"BZN|ES","01.11.2022 17:30 - 01.11.2022 17:45 (UTC)","416","0","0","9976","352","88","0","0","0","","488","716","2164","0","4988","12","88","276","232","0","2312"
"BZN|ES","01.11.2022 17:45 - 01.11.2022 18:00 (UTC)","416","0","0","10016","352","88","0","0","0","","288","716","2708","0","4988","12","88","212","232","0","2312"
"BZN|ES","01.11.2022 18:00 - 01.11.2022 18:15 (UTC)","416","0","0","10092","352","88","0","0","0","","20","716","2800","0","4988","12","88","184","232","0","2312"
"BZN|ES","01.11.2022 18:15 - 01.11.2022 18:30 (UTC)","412","0","0","10080","364","88","0","0","0","","0","728","2420","0","4992","12","92","156","236","0","2240"
"BZN|ES","01.11.2022 18:30 - 01.11.2022 18:45 (UTC)","420","0","0","10120","372","92","0","0","0","","0","724","2496","0","4988","12","92","152","232","0","2156"
"BZN|ES","01.11.2022 18:45 - 01.11.2022 19:00 (UTC)","424","0","0","10196","372","92","0","0","0","","0","724","2720","0","4992","12","92","144","232","0","2056"
"BZN|ES","01.11.2022 19:00 - 01.11.2022 19:15 (UTC)","424","0","0","10264","372","96","0","0","0","","0","716","2956","0","4992","12","92","128","232","0","1956"
"BZN|ES","01.11.2022 19:15 - 01.11.2022 19:30 (UTC)","436","0","0","10236","372","100","0","0","0","","0","724","2852","0","4992","12","88","104","232","0","1840"
"BZN|ES","01.11.2022 19:30 - 01.11.2022 19:45 (UTC)","456","0","0","10312","372","104","0","0","0","","0","720","2832","0","4992","12","88","88","240","0","1732"
"BZN|ES","01.11.2022 19:45 - 01.11.2022 20:00 (UTC)","500","0","0","10316","372","104","0","0","0","","0","724","3052","0","4992","12","88","76","240","0","1692"
"BZN|ES","01.11.2022 20:00 - 01.11.2022 20:15 (UTC)","504","0","0","10332","372","104","0","0","0","","0","720","3080","0","4992","12","92","72","236","0","1684"
"BZN|ES","01.11.2022 20:15 - 01.11.2022 20:30 (UTC)","504","0","0","10272","372","104","0","0","0","","0","728","3380","0","4992","12","88","72","236","0","1696"
"BZN|ES","01.11.2022 20:30 - 01.11.2022 20:45 (UTC)","500","0","0","10272","372","104","0","0","0","","0","724","3260","0","4992","12","88","68","240","0","1648"
"BZN|ES","01.11.2022 20:45 - 01.11.2022 21:00 (UTC)","500","0","0","10220","372","104","0","0","0","","0","728","2812","0","4992","12","88","56","236","0","1584"
"BZN|ES","01.11.2022 21:00 - 01.11.2022 21:15 (UTC)","500","0","0","10140","372","104","0","0","0","","0","732","2620","0","4992","12","92","48","236","0","1504"
"BZN|ES","01.11.2022 21:15 - 01.11.2022 21:30 (UTC)","500","0","0","10176","372","104","0","0","0","","0","724","2796","0","4992","12","88","48","236","0","1456"
"BZN|ES","01.11.2022 21:30 - 01.11.2022 21:45 (UTC)","484","0","0","10216","352","104","0","0","0","","0","724","2468","0","4992","12","92","48","236","0","1404"
"BZN|ES","01.11.2022 21:45 - 01.11.2022 22:00 (UTC)","488","0","0","10300","352","104","0","0","0","","0","732","2024","0","4996","12","92","48","232","0","1408"
"BZN|ES","01.11.2022 22:00 - 01.11.2022 22:15 (UTC)","480","0","0","10156","352","104","0","0","0","","0","724","1708","0","4996","12","92","48","236","0","1392"
"BZN|ES","01.11.2022 22:15 - 01.11.2022 22:30 (UTC)","484","0","0","10320","352","104","0","0","0","","0","728","1580","0","4992","12","92","48","236","0","1392"
"BZN|ES","01.11.2022 22:30 - 01.11.2022 22:45 (UTC)","484","0","0","10332","352","100","0","0","0","","0","716","1312","0","4996","12","88","48","236","0","1380"
"BZN|ES","01.11.2022 22:45 - 01.11.2022 23:00 (UTC)","476","0","0","10212","352","100","0","0","0","","0","712","1120","0","4996","12","88","44","232","0","1400"
"BZN|ES","01.11.2022 23:00 - 01.11.2022 23:15 (UTC)","468","0","0","9912","344","100","0","0","0","","88","712","800","0","4996","12","88","44","232","0","1444"
"BZN|ES","01.11.2022 23:15 - 01.11.2022 23:30 (UTC)","480","0","0","9652","296","96","0","0","0","","288","700","636","0","4996","12","88","44","232","0","1464"
"BZN|ES","01.11.2022 23:30 - 01.11.2022 23:45 (UTC)","496","0","0","9556","276","100","0","0","0","","412","696","560","0","4992","12","92","44","228","0","1472"
"BZN|ES","01.11.2022 23:45 - 02.11.2022 00:00 (UTC)","492","0","0","9372","268","100","0","0","0","","504","680","380","0","4992","12","92","44","228","0","1508"
