datetime,Grid Node From,Grid Node To,Value,unit
2021-06-01 22:00,US-WECC-CISO,US-WECC-BPAT,-746,MWh
2021-06-01 22:00,US-WECC-CISO,MX,143,MWh
2021-06-01 22:00,US-WECC-CISO,US-WECC-IID,-371,MWh
2021-06-01 22:00,US-WECC-CISO,US-WECC-LDWP,-83,MWh
2021-06-01 22:00,US-WECC-CISO,US-WECC-NEVP,-717,MWh
2021-06-01 22:00,US-WECC-CISO,US-WECC-PACW,16,MWh
2021-06-01 22:00,US-WECC-CISO,US-WECC-SRP,-848,MWh
2021-06-01 22:00,US-WECC-CISO,US-WECC-TIDC,513,MWh
2021-06-01 23:00,US-WECC-CISO,US-WECC-AZPS,-384,MWh
2021-06-01 23:00,US-WECC-CISO,US-WECC-TIDC,542,MWh
2021-06-01 23:00,US-WECC-CISO,US-WECC-SRP,-823,MWh
2021-06-01 23:00,US-WECC-CISO,US-WECC-PACW,12,MWh
2021-06-01 23:00,US-WECC-CISO,US-WECC-NEVP,-705,MWh
2021-06-01 23:00,US-WECC-CISO,US-WECC-WALC,250,MWh
2021-06-01 23:00,US-WECC-CISO,US-WECC-IID,-315,MWh
2021-06-01 23:00,US-WECC-CISO,MX,200,MWh
2021-06-01 23:00,US-WECC-CISO,US-WECC-BPAT,-825,MWh
2021-06-01 23:00,US-WECC-CISO,US-WECC-BANC,-246,MWh
2021-06-01 23:00,US-WECC-CISO,US-WECC-LDWP,-562,MWh
