datetime,Grid Node From,Grid Node To,Value,unit
2021-06-01 13:00,US-WECC-CISO,US-WECC-PACW,-3,MWh
2021-06-01 13:00,US-WECC-CISO,US-WECC-SRP,-1857,MWh
2021-06-01 13:00,US-WECC-CISO,US-WECC-BANC,-1077,MWh
2021-06-01 13:00,US-WECC-CISO,US-WECC-BPAT,-1079,MWh
2021-06-01 13:00,US-WECC-CISO,MX,-57,MWh
2021-06-01 13:00,US-WECC-CISO,US-WECC-IID,-303,MWh
2021-06-01 13:00,US-WECC-CISO,US-WECC-LDWP,-1456,MWh
2021-06-01 13:00,US-WECC-CISO,US-WECC-NEVP,-1036,MWh
2021-06-01 13:00,US-WECC-CISO,US-WECC-AZPS,-818,MWh
2021-06-01 13:00,US-WECC-CISO,US-WECC-WALC,-145,MWh
2021-06-01 13:00,US-WECC-CISO,US-WECC-TIDC,30,MWh
2021-06-01 14:00,US-WECC-CISO,US-WECC-AZPS,-736,MWh
2021-06-01 14:00,US-WECC-CISO,US-WECC-BPAT,-978,MWh
2021-06-01 14:00,US-WECC-CISO,MX,1,MWh
2021-06-01 14:00,US-WECC-CISO,US-WECC-IID,-373,MWh
2021-06-01 14:00,US-WECC-CISO,US-WECC-LDWP,-1098,MWh
2021-06-01 14:00,US-WECC-CISO,US-WECC-BANC,-904,MWh
2021-06-01 14:00,US-WECC-CISO,US-WECC-PACW,2,MWh
2021-06-01 14:00,US-WECC-CISO,US-WECC-SRP,-1604,MWh
2021-06-01 14:00,US-WECC-CISO,US-WECC-TIDC,161,MWh
2021-06-01 14:00,US-WECC-CISO,US-WECC-WALC,-155,MWh
2021-06-01 14:00,US-WECC-CISO,US-WECC-NEVP,-1085,MWh
2021-06-01 15:00,US-WECC-CISO,US-WECC-PACW,8,MWh
2021-06-01 15:00,US-WECC-CISO,US-WECC-SRP,-1368,MWh
2021-06-01 15:00,US-WECC-CISO,US-WECC-TIDC,401,MWh
2021-06-01 15:00,US-WECC-CISO,US-WECC-WALC,50,MWh
2021-06-01 15:00,US-WECC-CISO,US-WECC-AZPS,-731,MWh
2021-06-01 15:00,US-WECC-CISO,US-WECC-NEVP,-924,MWh
2021-06-01 15:00,US-WECC-CISO,US-WECC-BANC,-622,MWh
2021-06-01 15:00,US-WECC-CISO,US-WECC-BPAT,-634,MWh
2021-06-01 15:00,US-WECC-CISO,MX,44,MWh
2021-06-01 15:00,US-WECC-CISO,US-WECC-IID,-549,MWh
2021-06-01 15:00,US-WECC-CISO,US-WECC-LDWP,-852,MWh
2021-06-01 16:00,US-WECC-CISO,US-WECC-AZPS,-621,MWh
2021-06-01 16:00,US-WECC-CISO,US-WECC-WALC,238,MWh
2021-06-01 16:00,US-WECC-CISO,US-WECC-BANC,-431,MWh
2021-06-01 16:00,US-WECC-CISO,US-WECC-BPAT,-531,MWh
2021-06-01 16:00,US-WECC-CISO,MX,42,MWh
2021-06-01 16:00,US-WECC-CISO,US-WECC-IID,-601,MWh
2021-06-01 16:00,US-WECC-CISO,US-WECC-LDWP,-533,MWh
2021-06-01 16:00,US-WECC-CISO,US-WECC-NEVP,-885,MWh
2021-06-01 16:00,US-WECC-CISO,US-WECC-PACW,9,MWh
2021-06-01 16:00,US-WECC-CISO,US-WECC-SRP,-1096,MWh
2021-06-01 16:00,US-WECC-CISO,US-WECC-TIDC,535,MWh
2021-06-01 17:00,US-WECC-CISO,US-WECC-AZPS,-499,MWh
2021-06-01 17:00,US-WECC-CISO,US-WECC-NEVP,-824,MWh
2021-06-01 17:00,US-WECC-CISO,US-WECC-LDWP,-271,MWh
2021-06-01 17:00,US-WECC-CISO,US-WECC-IID,-579,MWh
2021-06-01 17:00,US-WECC-CISO,MX,52,MWh
2021-06-01 17:00,US-WECC-CISO,US-WECC-BANC,-339,MWh
2021-06-01 17:00,US-WECC-CISO,US-WECC-PACW,10,MWh
2021-06-01 17:00,US-WECC-CISO,US-WECC-SRP,-884,MWh
2021-06-01 17:00,US-WECC-CISO,US-WECC-TIDC,564,MWh
2021-06-01 17:00,US-WECC-CISO,US-WECC-WALC,360,MWh
2021-06-01 17:00,US-WECC-CISO,US-WECC-BPAT,-558,MWh
2021-06-01 18:00,US-WECC-CISO,US-WECC-BPAT,-655,MWh
2021-06-01 18:00,US-WECC-CISO,US-WECC-BANC,-354,MWh
2021-06-01 18:00,US-WECC-CISO,US-WECC-AZPS,-500,MWh
2021-06-01 18:00,US-WECC-CISO,US-WECC-WALC,337,MWh
2021-06-01 18:00,US-WECC-CISO,US-WECC-TIDC,571,MWh
2021-06-01 18:00,US-WECC-CISO,US-WECC-SRP,-889,MWh
2021-06-01 18:00,US-WECC-CISO,US-WECC-PACW,9,MWh
2021-06-01 18:00,US-WECC-CISO,US-WECC-NEVP,-778,MWh
2021-06-01 18:00,US-WECC-CISO,US-WECC-LDWP,-248,MWh
2021-06-01 18:00,US-WECC-CISO,US-WECC-IID,-539,MWh
2021-06-01 18:00,US-WECC-CISO,MX,42,MWh
2021-06-01 19:00,US-WECC-CISO,US-WECC-AZPS,-489,MWh
2021-06-01 19:00,US-WECC-CISO,US-WECC-WALC,378,MWh
2021-06-01 19:00,US-WECC-CISO,US-WECC-TIDC,547,MWh
