datetime,Grid Node From,Grid Node To,Value,unit
2022-08-01 15:30:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 16:00:00+00:00,UK-GB,IE,504.0,MW
2022-08-01 16:00:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 16:30:00+00:00,UK-GB,IE,504.0,MW
2022-08-01 16:30:00+00:00,UK-GB,NL,100.0,MW
2022-08-01 16:30:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 17:00:00+00:00,UK-GB,IE,504.0,MW
2022-08-01 17:00:00+00:00,UK-GB,NL,114.0,MW
2022-08-01 17:00:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 17:30:00+00:00,UK-GB,IE,504.0,MW
2022-08-01 17:30:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 18:00:00+00:00,UK-GB,IE,504.0,MW
2022-08-01 18:00:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 18:30:00+00:00,UK-GB,IE,504.0,MW
2022-08-01 18:30:00+00:00,UK-GB,NL,100.0,MW
2022-08-01 18:30:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 19:00:00+00:00,UK-GB,IE,504.0,MW
2022-08-01 19:00:00+00:00,UK-GB,NL,104.0,MW
2022-08-01 19:00:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 19:30:00+00:00,UK-GB,IE,504.0,MW
2022-08-01 19:30:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 20:00:00+00:00,UK-GB,IE,504.0,MW
2022-08-01 20:00:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 20:30:00+00:00,UK-GB,IE,504.0,MW
2022-08-01 20:30:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 21:00:00+00:00,UK-GB,IE,498.0,MW
2022-08-01 21:00:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 21:30:00+00:00,UK-GB,IE,378.0,MW
2022-08-01 21:30:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 22:00:00+00:00,UK-GB,IE,216.0,MW
2022-08-01 22:00:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 22:30:00+00:00,UK-GB,IE,210.0,MW
2022-08-01 22:30:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 23:00:00+00:00,UK-GB,IE,362.0,MW
2022-08-01 23:00:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-01 23:30:00+00:00,UK-GB,IE,466.0,MW
2022-08-01 23:30:00+00:00,UK-GB,UK-NIR,208.0,MW
2022-08-02 00:00:00+00:00,UK-GB,IE,258.0,MW
2022-08-02 00:00:00+00:00,UK-GB,UK-NIR,124.0,MW
2022-08-01 00:30:00+00:00,UK-GB,BE,-828.0,MW
2022-08-01 00:30:00+00:00,UK-GB,FR,-2058.0,MW
2022-08-01 00:30:00+00:00,UK-GB,NL,-516.0,MW
2022-08-01 00:30:00+00:00,UK-GB,NO,-1166.0,MW
2022-08-01 01:00:00+00:00,UK-GB,BE,-828.0,MW
2022-08-01 01:00:00+00:00,UK-GB,FR,-2060.0,MW
