nationalBoundaryIdentifier,settlementDate,settlementPeriod,recordType,publishingPeriodCommencingTime,demand,activeFlag,spnDemand,spnGeneration
N,2022-01-01,23,DAID,2022-01-01 10:45:00,,Y,-26218,
N,2022-01-01,24,DAID,2022-01-01 11:15:00,,Y,-26543,
N,2022-01-01,25,DAID,2022-01-01 11:45:00,,Y,-26940,
N,2022-01-01,26,DAID,2022-01-01 12:15:00,,Y,-27068,
N,2022-01-01,27,DAID,2022-01-01 12:45:00,,Y,-26271,
N,2022-01-01,28,DAID,2022-01-01 13:15:00,,Y,-26321,
N,2022-01-01,29,DAID,2022-01-01 13:45:00,,Y,-26116,
N,2022-01-01,30,DAID,2022-01-01 14:15:00,,Y,-26296,
N,2022-01-01,31,DAID,2022-01-01 14:45:00,,Y,-26401,
N,2022-01-01,32,DAID,2022-01-01 15:15:00,,Y,-27192,
N,2022-01-01,33,DAID,2022-01-01 15:45:00,,Y,-28451,
N,2022-01-01,34,DAID,2022-01-01 16:15:00,,Y,-29565,
N,2022-01-01,35,DAID,2022-01-01 16:45:00,,Y,-29855,
N,2022-01-01,36,DAID,2022-01-01 17:15:00,,Y,-29666,
N,2022-01-01,37,DAID,2022-01-01 17:45:00,,Y,-29005,
N,2022-01-01,38,DAID,2022-01-01 18:15:00,,Y,-28429,
N,2022-01-01,39,DAID,2022-01-01 18:45:00,,Y,-27583,
N,2022-01-01,40,DAID,2022-01-01 19:15:00,,Y,-26988,
N,2022-01-01,41,DAID,2022-01-01 19:45:00,,Y,-26392,
N,2022-01-01,42,DAID,2022-01-01 20:15:00,,Y,-25704,
N,2022-01-01,43,DAID,2022-01-01 20:45:00,,Y,-24819,
N,2022-01-01,44,DAID,2022-01-01 21:15:00,,Y,-24216,
N,2022-01-01,45,DAID,2022-01-01 21:45:00,,Y,-24436,
N,2022-01-01,46,DAID,2022-01-01 22:15:00,,Y,-23998,
N,2022-01-01,47,DAID,2022-01-01 22:45:00,,Y,-24570,
N,2022-01-01,48,DAID,2022-01-01 23:15:00,,Y,-24834,
