DocumentType,BusinessType,ProcessType,TimeSeriesID,Quantity,CurveType,Resolution,SettlementDate,SettlementPeriod,PowerSystemResourceType,ActiveFlag,DocumentID,DocumentRevNum,datetime
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904732,1483.0,Sequential fixed size block,PT30M,2022-01-01,39,Biomass,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904731,1604.0,Sequential fixed size block,PT30M,2022-01-01,39,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904730,406.0,Sequential fixed size block,PT30M,2022-01-01,39,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904729,0.0,Sequential fixed size block,PT30M,2022-01-01,39,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904728,5071.0,Sequential fixed size block,PT30M,2022-01-01,39,Fossil Gas,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904727,0.0,Sequential fixed size block,PT30M,2022-01-01,39,Fossil Oil,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904726,6788.0,Sequential fixed size block,PT30M,2022-01-01,39,Nuclear,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904725,149.0,Sequential fixed size block,PT30M,2022-01-01,39,Other,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904724,5357.43,Sequential fixed size block,PT30M,2022-01-01,39,Wind Onshore,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904723,6288.004,Sequential fixed size block,PT30M,2022-01-01,39,Wind Offshore,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904722,0.0,Sequential fixed size block,PT30M,2022-01-01,39,Solar,Y,NGET-EMFIP-AGPT-06398897,1,2022-01-01 19:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904721,1700.0,Sequential fixed size block,PT30M,2022-01-01,38,Biomass,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904720,1909.0,Sequential fixed size block,PT30M,2022-01-01,38,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904719,407.0,Sequential fixed size block,PT30M,2022-01-01,38,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904718,0.0,Sequential fixed size block,PT30M,2022-01-01,38,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904717,5873.0,Sequential fixed size block,PT30M,2022-01-01,38,Fossil Gas,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904716,0.0,Sequential fixed size block,PT30M,2022-01-01,38,Fossil Oil,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904715,6795.0,Sequential fixed size block,PT30M,2022-01-01,38,Nuclear,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904714,248.0,Sequential fixed size block,PT30M,2022-01-01,38,Other,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904713,5379.342,Sequential fixed size block,PT30M,2022-01-01,38,Wind Onshore,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904712,6369.148,Sequential fixed size block,PT30M,2022-01-01,38,Wind Offshore,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904711,3.0,Sequential fixed size block,PT30M,2022-01-01,38,Solar,Y,NGET-EMFIP-AGPT-06398896,1,2022-01-01 19:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904710,1746.0,Sequential fixed size block,PT30M,2022-01-01,37,Biomass,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904709,2035.0,Sequential fixed size block,PT30M,2022-01-01,37,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904708,410.0,Sequential fixed size block,PT30M,2022-01-01,37,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904707,0.0,Sequential fixed size block,PT30M,2022-01-01,37,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904706,5672.0,Sequential fixed size block,PT30M,2022-01-01,37,Fossil Gas,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904705,0.0,Sequential fixed size block,PT30M,2022-01-01,37,Fossil Oil,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904704,6790.0,Sequential fixed size block,PT30M,2022-01-01,37,Nuclear,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904703,335.0,Sequential fixed size block,PT30M,2022-01-01,37,Other,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904702,5602.834,Sequential fixed size block,PT30M,2022-01-01,37,Wind Onshore,Y,NGET-EMFIP-AGPT-06398895,1,2022-01-01 18:30:00+00:00
